Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150602,-0.763776166,0.034866823,-0.194395151,-0.770695439,-0.073986384,0.100062472,0.49351177,0.183173797,0.21500985,-1.124007154,-0.028347663,0.437653691,-0.247267829,-0.690239819,0.235346851,0.235561438,0.106540792,0.036510049
20150601,0.258546228,0.406471574,0.140640914,0.237573099,0.272426219,-0.233077071,0.119603172,-0.023635514,0.66899741,2.239741119,0.022848016,-0.278471527,1.620676405,0.734075359,0.210480033,-0.103711906,0.611901435,0.76878137
20150529,-0.180272073,-0.265399409,-0.703373681,-0.674567001,0.245629318,0.232079045,-0.241632563,0.312686537,0.318762203,-0.148169111,0.57899792,0.12110008,-0.090204633,0.027875948,-0.161849966,-0.410840202,0.072859454,0.384896258
20150528,0.956707173,0.161323956,-0.177409678,-0.302863436,0.458613986,-0.167564206,0.431676753,-0.039788477,0.155167079,0.472184032,0.904300349,-0.356214721,0.965575403,-0.400723809,-0.0857027,0.054969504,0.118762003,-0.014270449
20150527,1.074958605,0.66178309,0.385611675,0.57995029,0.211421724,0.059360808,0.805011714,0.421624906,0.511445708,1.26502613,0.915642,0.159406944,2.972168456,1.50844798,0.47052762,0.519819338,0.919286493,0.86502695
20150526,0.454433734,0.654605792,0.495346491,0.475928977,0.41932282,0.231532947,0.988138525,0.693663946,0.410073018,0.218451924,0.181689983,0.131144548,0.875957957,-0.138286873,0.332664819,0.249815911,0.77737429,0.640022638
20150525,0.689058565,0.768446518,1.030458554,1.694297686,1.152915883,0.252792302,0.474056502,0.547247118,0.817469338,1.410252284,0.728909139,-0.033141392,-0.070102931,1.638213846,0.872414892,0.711269192,0.710555992,1.30079596
20150522,0.082712792,-0.131027778,-0.057011194,-0.277678252,0.27016941,0.12721015,-0.114914613,-0.27604095,-0.551073945,-0.5082706,-0.735750469,0.470748536,0.771536583,-0.425194886,-0.458686836,-0.173139087,0.886463354,0.049372448
20150521,0.163370697,0.027073929,-0.469885047,-0.134734573,-0.944038107,-0.064944659,0.132701978,-0.144571496,-0.276405059,0.287440708,0.498367552,-0.428817325,-0.500195195,-0.472178947,0.026652968,-0.485148399,-0.944874012,-1.01651374
20150520,0.865915403,0.262287374,0.644508274,0.557654254,-0.299074392,0.006281523,0.610043625,0.471883059,0.49012729,1.075217141,0.823979234,-0.013077288,1.045837999,0.335231732,0.327962602,0.447343517,0.366281556,0.361151821
20150519,0.430293035,1.016356277,1.266862112,1.86940966,1.14777629,-0.018874523,0.397373153,0.415826559,0.759246106,1.541249538,0.191045461,0.391582427,0.417630142,1.106225008,0.712417826,0.254606368,0.18805306,-0.024645827
20150518,-0.050892101,0.171937737,-0.35498487,-0.535604531,0.278207608,0.064666745,-0.132707068,-0.337397664,-0.041344018,-0.452465147,0.241206066,-0.079409249,-1.84298358,-0.996669107,-0.317117874,-0.778582959,-0.603255879,-0.082074469
