Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20090402,-1.488391594,-0.232641374,1.019462465,-0.836411036,-0.628969843,2.002139691,-1.951818102,-0.283555832,-0.416432189,-1.134962806,0.43797904,-0.102497827,-0.995398114,-0.089281286,0.590948707,-0.537140758,1.102219538,-0.50565856
20090401,-0.70253955,0.473479173,-0.303590285,-1.095831543,-0.636016123,-0.236334528,-1.268587386,-0.410190873,-0.05624297,1.017691515,-0.606343284,-0.339758394,-0.088665448,-0.360778887,-0.381170192,-1.93589051,-0.465885182,-1.228793404
20090331,-0.87692149,0.919373374,-0.046177188,0.182972769,2.137490808,2.532635035,-0.400965347,-0.094728171,-0.681488102,-0.682360969,0.531416068,0.313423759,-0.238915942,0.8925455,-0.071947013,-0.626342162,0.871674373,-1.785366689
20090330,0.811232449,0.529004013,-0.197511357,0.064620355,-0.266596708,-1.524132091,3.103642582,1.038263873,1.715909091,0.583390528,-0.156054931,0.272732146,0.66737045,-0.520833333,0.495491664,0.58500585,-0.767205716,0.890023566
20090327,-0.615018864,-1.562219429,-0.504388838,-0.332760842,-3.243947073,-2.783806032,-1.012839983,-1.733832219,-0.198468954,-0.787334553,-2.212726995,-1.39051332,0.15630028,-0.92879257,-1.266088563,-1.454545455,-2.292937459,-0.155296554
20090326,0.201967892,0.656705627,0.236375575,0.795239383,0.275989019,1.051119177,-1.465434679,-0.096004576,1.031223145,-1.467689856,1.001849568,-0.023122151,-0.730160179,-0.132508834,-0.549175193,0.521553069,0.837409219,-0.638263052
20090325,-0.160281268,0.229468599,-0.242352787,0.396480556,2.31374505,-0.331624962,-1.717830784,-0.028588932,1.053667574,-0.125643925,-0.123152709,0.441259414,0.366417808,-0.249669555,0.142193969,0.080303368,-0.096246391,0.317408198
20090324,-0.688061617,-1.152032472,-0.222207699,-0.952176018,-1.882384877,1.189749847,-0.938797999,-0.832303923,0.023162893,-0.254824964,-0.153704273,-0.145767765,-1.44005056,-0.322061192,-0.156586007,-1.142277498,-0.376161676,-0.399458045
20090323,-1.066802134,-0.101371497,0.065397947,-1.069717935,-1.758327611,0.962500963,-0.751389466,0.05876155,-0.179190751,-1.245874587,-0.458996328,-0.471511475,0.18089725,-0.204528853,0.102407624,-0.865687303,0.066425566,-1.726354454
20090320,-0.434980527,0.22710973,-0.610984725,-0.106326422,-2.341944141,0.15423768,0.203905287,-1.163559169,0.0578369,-1.467420024,-0.713960201,-0.34938611,1.745764428,-0.262275973,-1.201734462,-0.759317916,-0.892399971,-0.089451593
